Group,CasesAverage,Year,Nativity,Source
TNF-alpha,10,2011,FB,RVCT
Asian,1059,2011,FB,RVCT
Black,46,2011,FB,RVCT
Hispanic,624,2011,FB,RVCT
Other,2,2011,FB,RVCT
White,55,2011,FB,RVCT
Male,1049,2011,FB,RVCT
Female,737,2011,FB,RVCT
Alcohol,137,2011,FB,RVCT
IDU,10,2011,FB,RVCT
Imported,165,2011,FB,RVCT
RTgt1yr,61,2011,FB,RVCT
RTall,63,2011,FB,RVCT
Total,391,2012,USB,RVCT
Homeless,68,2012,USB,RVCT
HIV,31,2012,USB,RVCT
Diabetes,66,2012,USB,RVCT
ESRD,15,2012,USB,RVCT
Smokers,61,2012,USB,RVCT
Transplant,4,2012,USB,RVCT
TNF-alpha,5,2012,USB,RVCT
Asian,38,2012,USB,RVCT
Black,76,2012,USB,RVCT
Hispanic,153,2012,USB,RVCT
Other,10,2012,USB,RVCT
White,114,2012,USB,RVCT
Male,244,2012,USB,RVCT
Female,147,2012,USB,RVCT
Alcohol,70,2012,USB,RVCT
IDU,22,2012,USB,RVCT
Imported,,2012,USB,RVCT
RTgt1yr,84,2012,USB,RVCT
RTall,84,2012,USB,RVCT
Total,1707,2012,FB,RVCT
Homeless,60,2012,FB,RVCT
HIV,57,2012,FB,RVCT
Diabetes,445,2012,FB,RVCT
ESRD,69,2012,FB,RVCT
Smokers,168,2012,FB,RVCT
Transplant,9,2012,FB,RVCT
TNF-alpha,14,2012,FB,RVCT
Asian,984,2012,FB,RVCT
Black,55,2012,FB,RVCT
Hispanic,606,2012,FB,RVCT
Other,2,2012,FB,RVCT
White,60,2012,FB,RVCT
Male,1006,2012,FB,RVCT
Female,701,2012,FB,RVCT
Alcohol,129,2012,FB,RVCT
IDU,18,2012,FB,RVCT
Imported,143,2012,FB,RVCT
RTgt1yr,118,2012,FB,RVCT
RTall,118,2012,FB,RVCT
Total,383,2013,USB,RVCT
Homeless,69,2013,USB,RVCT
HIV,32,2013,USB,RVCT
Diabetes,62,2013,USB,RVCT
ESRD,4,2013,USB,RVCT
Smokers,78,2013,USB,RVCT
Transplant,2,2013,USB,RVCT
TNF-alpha,6,2013,USB,RVCT
Asian,33,2013,USB,RVCT
Black,90,2013,USB,RVCT
Hispanic,150,2013,USB,RVCT
Other,5,2013,USB,RVCT
White,105,2013,USB,RVCT
Male,263,2013,USB,RVCT
Female,120,2013,USB,RVCT
Alcohol,72,2013,USB,RVCT
IDU,20,2013,USB,RVCT
Imported,,2013,USB,RVCT
RTgt1yr,82,2013,USB,RVCT
RTall,82,2013,USB,RVCT
Total,1687,2013,FB,RVCT
Homeless,58,2013,FB,RVCT
HIV,44,2013,FB,RVCT
Diabetes,474,2013,FB,RVCT
ESRD,70,2013,FB,RVCT
Smokers,180,2013,FB,RVCT
Transplant,13,2013,FB,RVCT
TNF-alpha,14,2013,FB,RVCT
Asian,999,2013,FB,RVCT
Black,41,2013,FB,RVCT
Hispanic,574,2013,FB,RVCT
Other,5,2013,FB,RVCT
White,68,2013,FB,RVCT
Male,1003,2013,FB,RVCT
Female,684,2013,FB,RVCT
Alcohol,101,2013,FB,RVCT
IDU,11,2013,FB,RVCT
Imported,148,2013,FB,RVCT
RTgt1yr,135,2013,FB,RVCT
RTall,142,2013,FB,RVCT
Total,378,2014,USB,RVCT
Homeless,49,2014,USB,RVCT
HIV,35,2014,USB,RVCT
Diabetes,49,2014,USB,RVCT
ESRD,11,2014,USB,RVCT
Smokers,80,2014,USB,RVCT
Transplant,2,2014,USB,RVCT
TNF-alpha,2,2014,USB,RVCT
Asian,50,2014,USB,RVCT
Black,69,2014,USB,RVCT
Hispanic,151,2014,USB,RVCT
Other,5,2014,USB,RVCT
White,103,2014,USB,RVCT
Male,230,2014,USB,RVCT
Female,148,2014,USB,RVCT
Alcohol,65,2014,USB,RVCT
IDU,21,2014,USB,RVCT
Imported,,2014,USB,RVCT
RTgt1yr,83,2014,USB,RVCT
RTall,83,2014,USB,RVCT
Total,1664,2014,FB,RVCT
Homeless,51,2014,FB,RVCT
HIV,51,2014,FB,RVCT
Diabetes,459,2014,FB,RVCT
ESRD,71,2014,FB,RVCT
Smokers,184,2014,FB,RVCT
Transplant,21,2014,FB,RVCT
TNF-alpha,18,2014,FB,RVCT
Asian,1007,2014,FB,RVCT
Black,47,2014,FB,RVCT
Hispanic,553,2014,FB,RVCT
Other,4,2014,FB,RVCT
White,53,2014,FB,RVCT
Male,1021,2014,FB,RVCT
Female,643,2014,FB,RVCT
Alcohol,96,2014,FB,RVCT
IDU,8,2014,FB,RVCT
Imported,160,2014,FB,RVCT
RTgt1yr,136,2014,FB,RVCT
RTall,143,2014,FB,RVCT
