Birthplace,Sex,Race,Age group,Base,Stratum,From_state,To_State
Afghanistan,Male,Other,Age 25-29,0.321913334,Afghanistan Male Other Age 25-29,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 30-34,0.321913334,Afghanistan Male Other Age 30-34,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 35-39,0.321913334,Afghanistan Male Other Age 35-39,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 40-44,0.321913334,Afghanistan Male Other Age 40-44,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 45-49,0.417080763,Afghanistan Male Other Age 45-49,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 50-54,0.417080763,Afghanistan Male Other Age 50-54,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 55-59,0.417080763,Afghanistan Male Other Age 55-59,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 60-64,0.417080763,Afghanistan Male Other Age 60-64,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 65-69,0.184257178,Afghanistan Male Other Age 65-69,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 70-74,0.184257178,Afghanistan Male Other Age 70-74,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 75-79,0.184257178,Afghanistan Male Other Age 75-79,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 80+,0.184257178,Afghanistan Male Other Age 80+,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 15-19,0.226415097,Afghanistan Female Asian Age 15-19,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 20-24,0.226415097,Afghanistan Female Asian Age 20-24,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 25-29,0.154848131,Afghanistan Female Asian Age 25-29,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 30-34,0.154848131,Afghanistan Female Asian Age 30-34,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 35-39,0.154848131,Afghanistan Female Asian Age 35-39,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 40-44,0.154848131,Afghanistan Female Asian Age 40-44,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 45-49,0.220496115,Afghanistan Female Asian Age 45-49,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 50-54,0.220496115,Afghanistan Female Asian Age 50-54,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 55-59,0.220496115,Afghanistan Female Asian Age 55-59,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 60-64,0.220496115,Afghanistan Female Asian Age 60-64,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 65-69,0.113517705,Afghanistan Female Asian Age 65-69,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 70-74,0.113517705,Afghanistan Female Asian Age 70-74,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 75-79,0.113517705,Afghanistan Female Asian Age 75-79,Uninitialized,Latent TB
Afghanistan,Female,Asian,Age 80+,0.113517705,Afghanistan Female Asian Age 80+,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 15-19,0.226415097,Afghanistan Female Hispanic Age 15-19,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 20-24,0.226415097,Afghanistan Female Hispanic Age 20-24,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 25-29,0.154848131,Afghanistan Female Hispanic Age 25-29,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 30-34,0.154848131,Afghanistan Female Hispanic Age 30-34,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 35-39,0.154848131,Afghanistan Female Hispanic Age 35-39,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 40-44,0.154848131,Afghanistan Female Hispanic Age 40-44,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 45-49,0.220496115,Afghanistan Female Hispanic Age 45-49,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 50-54,0.220496115,Afghanistan Female Hispanic Age 50-54,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 55-59,0.220496115,Afghanistan Female Hispanic Age 55-59,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 60-64,0.220496115,Afghanistan Female Hispanic Age 60-64,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 65-69,0.113517705,Afghanistan Female Hispanic Age 65-69,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 70-74,0.113517705,Afghanistan Female Hispanic Age 70-74,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 75-79,0.113517705,Afghanistan Female Hispanic Age 75-79,Uninitialized,Latent TB
Afghanistan,Female,Hispanic,Age 80+,0.113517705,Afghanistan Female Hispanic Age 80+,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 15-19,0.226415097,Afghanistan Female Black Age 15-19,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 20-24,0.226415097,Afghanistan Female Black Age 20-24,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 25-29,0.154848131,Afghanistan Female Black Age 25-29,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 30-34,0.154848131,Afghanistan Female Black Age 30-34,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 35-39,0.154848131,Afghanistan Female Black Age 35-39,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 40-44,0.154848131,Afghanistan Female Black Age 40-44,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 45-49,0.220496115,Afghanistan Female Black Age 45-49,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 50-54,0.220496115,Afghanistan Female Black Age 50-54,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 55-59,0.220496115,Afghanistan Female Black Age 55-59,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 60-64,0.220496115,Afghanistan Female Black Age 60-64,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 65-69,0.113517705,Afghanistan Female Black Age 65-69,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 70-74,0.113517705,Afghanistan Female Black Age 70-74,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 75-79,0.113517705,Afghanistan Female Black Age 75-79,Uninitialized,Latent TB
Afghanistan,Female,Black,Age 80+,0.113517705,Afghanistan Female Black Age 80+,Uninitialized,Latent TB
Afghanistan,Female,White,Age 15-19,0.226415097,Afghanistan Female White Age 15-19,Uninitialized,Latent TB
Afghanistan,Female,White,Age 20-24,0.226415097,Afghanistan Female White Age 20-24,Uninitialized,Latent TB
Afghanistan,Female,White,Age 25-29,0.154848131,Afghanistan Female White Age 25-29,Uninitialized,Latent TB
Afghanistan,Female,White,Age 30-34,0.154848131,Afghanistan Female White Age 30-34,Uninitialized,Latent TB
Afghanistan,Female,White,Age 35-39,0.154848131,Afghanistan Female White Age 35-39,Uninitialized,Latent TB
Afghanistan,Female,White,Age 40-44,0.154848131,Afghanistan Female White Age 40-44,Uninitialized,Latent TB
Afghanistan,Female,White,Age 45-49,0.220496115,Afghanistan Female White Age 45-49,Uninitialized,Latent TB
Afghanistan,Female,White,Age 50-54,0.220496115,Afghanistan Female White Age 50-54,Uninitialized,Latent TB
Afghanistan,Female,White,Age 55-59,0.220496115,Afghanistan Female White Age 55-59,Uninitialized,Latent TB
Afghanistan,Female,White,Age 60-64,0.220496115,Afghanistan Female White Age 60-64,Uninitialized,Latent TB
Afghanistan,Female,White,Age 65-69,0.113517705,Afghanistan Female White Age 65-69,Uninitialized,Latent TB
Afghanistan,Female,White,Age 70-74,0.113517705,Afghanistan Female White Age 70-74,Uninitialized,Latent TB
Afghanistan,Female,White,Age 75-79,0.113517705,Afghanistan Female White Age 75-79,Uninitialized,Latent TB
Afghanistan,Female,White,Age 80+,0.113517705,Afghanistan Female White Age 80+,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 15-19,0.226415097,Afghanistan Female Other Age 15-19,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 20-24,0.226415097,Afghanistan Female Other Age 20-24,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 25-29,0.154848131,Afghanistan Female Other Age 25-29,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 30-34,0.154848131,Afghanistan Female Other Age 30-34,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 35-39,0.154848131,Afghanistan Female Other Age 35-39,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 40-44,0.154848131,Afghanistan Female Other Age 40-44,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 45-49,0.220496115,Afghanistan Female Other Age 45-49,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 50-54,0.220496115,Afghanistan Female Other Age 50-54,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 55-59,0.220496115,Afghanistan Female Other Age 55-59,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 60-64,0.220496115,Afghanistan Female Other Age 60-64,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 65-69,0.113517705,Afghanistan Female Other Age 65-69,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 70-74,0.113517705,Afghanistan Female Other Age 70-74,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 75-79,0.113517705,Afghanistan Female Other Age 75-79,Uninitialized,Latent TB
Afghanistan,Female,Other,Age 80+,0.113517705,Afghanistan Female Other Age 80+,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 15-19,0.131224162,Bangladesh Male Asian Age 15-19,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 20-24,0.131224162,Bangladesh Male Asian Age 20-24,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 25-29,0.405193254,Bangladesh Male Asian Age 25-29,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 30-34,0.405193254,Bangladesh Male Asian Age 30-34,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 35-39,0.405193254,Bangladesh Male Asian Age 35-39,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 40-44,0.405193254,Bangladesh Male Asian Age 40-44,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 45-49,0.359122493,Bangladesh Male Asian Age 45-49,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 50-54,0.359122493,Bangladesh Male Asian Age 50-54,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 55-59,0.359122493,Bangladesh Male Asian Age 55-59,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 60-64,0.359122493,Bangladesh Male Asian Age 60-64,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 65-69,0.548118119,Bangladesh Male Asian Age 65-69,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 70-74,0.548118119,Bangladesh Male Asian Age 70-74,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 75-79,0.548118119,Bangladesh Male Asian Age 75-79,Uninitialized,Latent TB
Bangladesh,Male,Asian,Age 80+,0.548118119,Bangladesh Male Asian Age 80+,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 15-19,0.131224162,Bangladesh Male Hispanic Age 15-19,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 20-24,0.131224162,Bangladesh Male Hispanic Age 20-24,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 25-29,0.405193254,Bangladesh Male Hispanic Age 25-29,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 30-34,0.405193254,Bangladesh Male Hispanic Age 30-34,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 35-39,0.405193254,Bangladesh Male Hispanic Age 35-39,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 40-44,0.405193254,Bangladesh Male Hispanic Age 40-44,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 45-49,0.359122493,Bangladesh Male Hispanic Age 45-49,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 50-54,0.359122493,Bangladesh Male Hispanic Age 50-54,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 55-59,0.359122493,Bangladesh Male Hispanic Age 55-59,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 60-64,0.359122493,Bangladesh Male Hispanic Age 60-64,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 65-69,0.548118119,Bangladesh Male Hispanic Age 65-69,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 70-74,0.548118119,Bangladesh Male Hispanic Age 70-74,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 75-79,0.548118119,Bangladesh Male Hispanic Age 75-79,Uninitialized,Latent TB
Bangladesh,Male,Hispanic,Age 80+,0.548118119,Bangladesh Male Hispanic Age 80+,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 15-19,0.131224162,Bangladesh Male Black Age 15-19,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 20-24,0.131224162,Bangladesh Male Black Age 20-24,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 25-29,0.405193254,Bangladesh Male Black Age 25-29,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 30-34,0.405193254,Bangladesh Male Black Age 30-34,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 35-39,0.405193254,Bangladesh Male Black Age 35-39,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 40-44,0.405193254,Bangladesh Male Black Age 40-44,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 45-49,0.359122493,Bangladesh Male Black Age 45-49,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 50-54,0.359122493,Bangladesh Male Black Age 50-54,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 55-59,0.359122493,Bangladesh Male Black Age 55-59,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 60-64,0.359122493,Bangladesh Male Black Age 60-64,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 65-69,0.548118119,Bangladesh Male Black Age 65-69,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 70-74,0.548118119,Bangladesh Male Black Age 70-74,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 75-79,0.548118119,Bangladesh Male Black Age 75-79,Uninitialized,Latent TB
Bangladesh,Male,Black,Age 80+,0.548118119,Bangladesh Male Black Age 80+,Uninitialized,Latent TB
Bangladesh,Male,White,Age 15-19,0.131224162,Bangladesh Male White Age 15-19,Uninitialized,Latent TB
Bangladesh,Male,White,Age 20-24,0.131224162,Bangladesh Male White Age 20-24,Uninitialized,Latent TB
Bangladesh,Male,White,Age 25-29,0.405193254,Bangladesh Male White Age 25-29,Uninitialized,Latent TB
Bangladesh,Male,White,Age 30-34,0.405193254,Bangladesh Male White Age 30-34,Uninitialized,Latent TB
Bangladesh,Male,White,Age 35-39,0.405193254,Bangladesh Male White Age 35-39,Uninitialized,Latent TB
Bangladesh,Male,White,Age 40-44,0.405193254,Bangladesh Male White Age 40-44,Uninitialized,Latent TB
Bangladesh,Male,White,Age 45-49,0.359122493,Bangladesh Male White Age 45-49,Uninitialized,Latent TB
Bangladesh,Male,White,Age 50-54,0.359122493,Bangladesh Male White Age 50-54,Uninitialized,Latent TB
Bangladesh,Male,White,Age 55-59,0.359122493,Bangladesh Male White Age 55-59,Uninitialized,Latent TB
Bangladesh,Male,White,Age 60-64,0.359122493,Bangladesh Male White Age 60-64,Uninitialized,Latent TB
Bangladesh,Male,White,Age 65-69,0.548118119,Bangladesh Male White Age 65-69,Uninitialized,Latent TB
Bangladesh,Male,White,Age 70-74,0.548118119,Bangladesh Male White Age 70-74,Uninitialized,Latent TB
Bangladesh,Male,White,Age 75-79,0.548118119,Bangladesh Male White Age 75-79,Uninitialized,Latent TB
Bangladesh,Male,White,Age 80+,0.548118119,Bangladesh Male White Age 80+,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 15-19,0.131224162,Bangladesh Male Other Age 15-19,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 20-24,0.131224162,Bangladesh Male Other Age 20-24,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 25-29,0.405193254,Bangladesh Male Other Age 25-29,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 30-34,0.405193254,Bangladesh Male Other Age 30-34,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 35-39,0.405193254,Bangladesh Male Other Age 35-39,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 40-44,0.405193254,Bangladesh Male Other Age 40-44,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 45-49,0.359122493,Bangladesh Male Other Age 45-49,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 50-54,0.359122493,Bangladesh Male Other Age 50-54,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 55-59,0.359122493,Bangladesh Male Other Age 55-59,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 60-64,0.359122493,Bangladesh Male Other Age 60-64,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 65-69,0.548118119,Bangladesh Male Other Age 65-69,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 70-74,0.548118119,Bangladesh Male Other Age 70-74,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 75-79,0.548118119,Bangladesh Male Other Age 75-79,Uninitialized,Latent TB
Bangladesh,Male,Other,Age 80+,0.548118119,Bangladesh Male Other Age 80+,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 15-19,0.469712166,Bangladesh Female Asian Age 15-19,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 20-24,0.469712166,Bangladesh Female Asian Age 20-24,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 25-29,0.209014944,Bangladesh Female Asian Age 25-29,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 30-34,0.209014944,Bangladesh Female Asian Age 30-34,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 35-39,0.209014944,Bangladesh Female Asian Age 35-39,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 40-44,0.209014944,Bangladesh Female Asian Age 40-44,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 45-49,0.372498814,Bangladesh Female Asian Age 45-49,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 50-54,0.372498814,Bangladesh Female Asian Age 50-54,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 55-59,0.372498814,Bangladesh Female Asian Age 55-59,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 60-64,0.372498814,Bangladesh Female Asian Age 60-64,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 65-69,0.793124264,Bangladesh Female Asian Age 65-69,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 70-74,0.793124264,Bangladesh Female Asian Age 70-74,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 75-79,0.793124264,Bangladesh Female Asian Age 75-79,Uninitialized,Latent TB
Bangladesh,Female,Asian,Age 80+,0.793124264,Bangladesh Female Asian Age 80+,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 15-19,0.469712166,Bangladesh Female Hispanic Age 15-19,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 20-24,0.469712166,Bangladesh Female Hispanic Age 20-24,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 25-29,0.209014944,Bangladesh Female Hispanic Age 25-29,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 30-34,0.209014944,Bangladesh Female Hispanic Age 30-34,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 35-39,0.209014944,Bangladesh Female Hispanic Age 35-39,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 40-44,0.209014944,Bangladesh Female Hispanic Age 40-44,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 45-49,0.372498814,Bangladesh Female Hispanic Age 45-49,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 50-54,0.372498814,Bangladesh Female Hispanic Age 50-54,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 55-59,0.372498814,Bangladesh Female Hispanic Age 55-59,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 60-64,0.372498814,Bangladesh Female Hispanic Age 60-64,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 65-69,0.793124264,Bangladesh Female Hispanic Age 65-69,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 70-74,0.793124264,Bangladesh Female Hispanic Age 70-74,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 75-79,0.793124264,Bangladesh Female Hispanic Age 75-79,Uninitialized,Latent TB
Bangladesh,Female,Hispanic,Age 80+,0.793124264,Bangladesh Female Hispanic Age 80+,Uninitialized,Latent TB
Bangladesh,Female,Black,Age 15-19,0.469712166,Bangladesh Female Black Age 15-19,Uninitialized,Latent TB
Bangladesh,Female,Black,Age 20-24,0.469712166,Bangladesh Female Black Age 20-24,Uninitialized,Latent TB
Bangladesh,Female,Black,Age 25-29,0.209014944,Bangladesh Female Black Age 25-29,Uninitialized,Latent TB
Bangladesh,Female,Black,Age 30-34,0.209014944,Bangladesh Female Black Age 30-34,Uninitialized,Latent TB
Bangladesh,Female,Black,Age 35-39,0.209014944,Bangladesh Female Black Age 35-39,Uninitialized,Latent TB
